# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,YYBNHICVYE,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923484371612544042e+00, 0.000000000000000000e+00, -4.662938035812542320e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.813528634516622162e+00, 0.000000000000000000e+00, -1.132509202586122130e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.658790601199219061e+00, 0.000000000000000000e+00, -2.064122158723908501e-02, 1.000000000000000000e+00, 1.722603643809274832e-01
3.447326290216147449e+00, 0.000000000000000000e+00, -3.330736064463547114e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
3.169636113951068701e+00, 0.000000000000000000e+00, -4.987948511947713076e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
2.823462195396056806e+00, 0.000000000000000000e+00, -7.035768033572956104e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.418822391370777591e+00, 0.000000000000000000e+00, -9.353505279229200331e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.979907978529703572e+00, 0.000000000000000000e+00, -1.162612035103016972e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.540751308815968335e+00, 0.000000000000000000e+00, -1.335927616264028228e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.135575571719547039e+00, 0.000000000000000000e+00, -1.437333163246508616e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.888287727192893062e-01, 0.000000000000000000e+00, -1.479729762507757118e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
5.107178527828399872e-01, 0.000000000000000000e+00, -1.425485512830543811e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.995405380800826300e-01, 0.000000000000000000e+00, -1.263565722524558899e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
1.470142209135237854e-01, 0.000000000000000000e+00, -9.930433027827978432e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
4.492347119991908083e-02, 0.000000000000000000e+00, -5.904827210644380403e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.919890932211378909e-02, 0.000000000000000000e+00, 6.953268485230323925e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.204969113289394989e-01, 0.000000000000000000e+00, 1.338327807426820115e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.660496146098195180e-01, 0.000000000000000000e+00, 1.943729237898766393e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
4.740402825038642631e-01, 0.000000000000000000e+00, 2.509231909922620685e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.531881066736887398e-01, 0.000000000000000000e+00, 2.979543408086016143e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.104945649473158875e+00, 0.000000000000000000e+00, 3.263926320518886204e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.517427294315003339e+00, 0.000000000000000000e+00, 3.270683785232360585e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.964104640343172115e+00, 0.000000000000000000e+00, 3.024470892270063604e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.409499885888958470e+00, 0.000000000000000000e+00, 2.604939229873563522e-01, 1.000000000000000000e+00, 3.216336609715709560e+00
2.818846388420814808e+00, 0.000000000000000000e+00, 2.090920299427297402e-01, 1.000000000000000000e+00, 3.415838762408753393e+00
3.167903487065844459e+00, 0.000000000000000000e+00, 1.565199596124529635e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.447048073450853956e+00, 0.000000000000000000e+00, 1.089364845252999148e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.659057012182297619e+00, 0.000000000000000000e+00, 6.951784480685326006e-02, 1.000000000000000000e+00, 3.827739635619072711e+00
3.813858435655042012e+00, 0.000000000000000000e+00, 3.890956571782284296e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.923675308150852192e+00, 0.000000000000000000e+00, 1.623637990573381651e-02, 1.000000000000000000e+00, 3.958266880232111706e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
4.439230484541326405e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
4.374199598940832878e+00, 1.799999999999999600e+00, -4.172439580153125202e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
